,Mean_gain_PD3,Std_gain_PD3,Mean_gain_PD2,Std_gain_PD2,Mean_gain_PD1,Std_gain_PD1
0,32.58,18.480877,32.52,19.800219,32.74,19.143936
1,-11.61,18.950169,-12.7,20.511187,-10.64,18.91536
2,19.72,11.615568,20.15,11.413952,19.49,11.663622
3,-18.91,19.013412,-18.15,18.785126,-18.2,19.291481
4,-18.3,9.322578,-17.84,9.2592745,-17.86,9.466796
5,5.09,16.407082,3.35,16.324053,3.66,16.376984
6,13.41,19.926634,14.58,19.925434,13.68,20.165798
7,12.97,15.858099,11.74,15.638841,12.88,14.956749
8,-20.81,16.255594,-18.66,16.087427,-19.52,16.10496
9,8.46,13.697768,9.25,14.0049095,8.33,13.700769
10,24.56,19.504005,24.98,19.646835,23.59,19.672617
11,23.68,11.749803,23.93,11.386609,23.5,11.590945
12,-2.48,16.33551,-2.3,16.15899,-2.38,15.7269125
13,-23.9,15.677605,-24.52,15.59391,-25.03,16.056097
14,17.53,17.652145,18.14,17.5368,16.57,18.388449
15,-16.5,17.525696,-17.0,16.834488,-17.0,17.532825
16,3.29,16.609549,5.7,17.598568,3.47,17.402859
17,-16.95,15.766907,-16.63,15.872721,-17.76,16.185886
18,14.02,15.311416,13.12,15.58415,14.15,14.780895
19,-18.67,19.249193,-18.16,18.287008,-18.53,18.158731
20,10.28,14.923886,10.45,14.902954,10.53,14.629431
21,0.69,10.306517,0.78,10.648565,1.07,10.961547
22,-1.58,17.694773,-1.66,17.413874,-1.8,17.909765
23,-15.12,24.086996,-13.76,24.483942,-14.56,24.331171
24,-9.09,17.368673,-9.49,17.658987,-8.49,18.210464
25,-25.21,12.47219,-24.63,12.484524,-25.9,11.974602
26,4.94,16.180096,3.5,16.153948,3.65,16.315018
27,-8.23,18.421925,-8.72,17.47458,-8.56,18.163883
28,0.52,19.645079,-0.77,19.867235,1.27,20.294989
29,-12.79,17.598728,-12.93,17.318027,-13.17,17.130411
30,-12.18,17.419748,-11.25,17.330248,-11.23,17.680126
31,18.15,13.064339,17.6,12.916677,17.94,13.399885
32,-14.04,14.299586,-13.09,14.203948,-13.47,14.115893
33,5.88,17.41912,5.57,17.885078,5.81,17.051208
34,21.89,12.535063,21.26,12.594158,21.34,12.790787
35,-3.44,15.670585,-2.84,14.139789,-3.39,14.78538
36,-2.34,17.610292,-2.72,17.481434,-2.17,17.0819
37,5.63,11.384311,5.95,10.700422,6.23,10.875963
38,-17.89,19.438309,-17.65,19.869038,-17.98,20.206945
39,-2.1,24.88356,-1.18,23.617949,-3.48,24.480415
40,-0.52,19.275124,-0.56,18.261616,-0.07,18.245443
41,-19.24,21.128672,-17.73,21.632063,-19.23,21.337896
42,-3.1,16.309187,-3.42,16.373861,-3.17,16.788433
43,25.19,12.375942,24.97,12.181932,24.85,12.024038
44,-23.7,14.943504,-24.22,15.491659,-23.64,15.464522
45,-10.59,18.535131,-10.6,18.821375,-11.23,19.135986
46,4.51,11.762659,4.65,11.656692,5.28,11.811943
47,-14.63,17.98512,-14.88,18.126938,-13.69,18.381641
